Contract,OnlineSecurity,tenure,InternetService,TotalCharges,MonthlyCharges,PaymentMethod
1,0,54,0,3770,70.7,2
0,0,1,1,80,80.55,2
1,1,13,2,259,19.3,1
2,0,24,1,2263,96.55,2
0,2,6,1,450,74.1,2
0,0,38,1,4009,102.6,2
1,2,12,1,979,85.15,1
0,2,26,0,1156,44.65,0
2,0,6,0,217,40.55,3
1,0,67,1,5918,87.4,2
1,0,62,1,6383,103.75,2
0,2,50,0,2021,39.45,1
2,2,72,0,4664,65.65,0
0,0,31,1,2911,98.9,2
2,2,72,0,6782,92.0,1
0,2,51,0,2181,44.45,1
0,1,1,2,20,20.4,3
2,2,60,1,6758,115.25,1
2,1,24,2,498,19.75,3
0,0,2,1,144,80.65,2
0,0,4,1,305,77.95,0
2,2,67,0,4322,65.65,3
1,2,69,1,7251,106.4,1
0,0,1,1,69,69.55,3
2,1,67,2,1583,24.85,1
0,0,1,1,89,89.9,2
0,2,67,1,5588,83.85,0
0,0,27,1,2401,86.45,0
0,2,41,1,4282,106.5,2
2,0,64,1,6741,109.2,1
0,0,1,1,69,69.6,2
0,0,6,0,270,44.75,2
2,2,72,0,4478,65.25,1
1,2,57,0,3913,70.1,0
2,0,70,0,5265,72.95,0
0,0,10,1,851,85.55,2
0,0,1,0,55,55.7,3
2,2,71,0,6293,89.85,3
0,0,3,0,92,40.3,3
2,1,63,2,1618,24.2,3
0,0,25,1,1797,74.6,2
2,1,62,2,1413,24.4,3
1,2,55,1,5276,94.75,2
2,2,52,0,4016,79.2,2
0,0,16,1,1312,81.0,2
0,0,29,1,2621,87.8,1
0,0,2,0,68,35.1,2
0,0,8,1,553,70.7,0
0,0,5,1,420,85.3,3
0,1,9,2,180,19.7,1
0,0,32,1,2276,74.4,2
2,0,72,1,6130,84.5,1
2,2,7,0,305,49.65,1
0,2,18,0,964,58.4,1
0,0,48,1,5083,105.1,1
2,2,71,1,6766,96.35,1
0,0,1,1,70,70.05,2
1,0,69,1,7386,105.2,0
2,1,60,2,1198,20.5,0
0,0,1,0,25,25.05,2
0,0,1,0,49,49.0,1
0,2,38,1,3479,91.7,0
0,1,4,2,83,20.05,3
2,0,31,1,3109,99.45,0
0,2,14,1,1043,78.85,2
2,2,71,1,7904,109.7,0
0,0,2,1,171,80.95,2
2,2,64,1,5822,93.4,0
0,0,9,1,653,80.55,2
1,2,56,1,6068,105.6,1
0,0,11,1,999,94.2,2
2,1,72,2,1363,19.4,1
0,1,1,2,19,19.65,3
0,2,60,1,6572,109.45,0
0,0,33,0,1750,50.0,2
2,1,72,2,1322,19.95,0
1,2,26,1,2274,87.15,1
0,0,3,1,272,85.8,2
0,0,22,0,849,39.2,2
0,2,22,0,1381,63.55,3
0,0,1,0,53,53.55,3
0,2,27,0,1510,54.75,1
0,0,1,1,69,69.7,0
0,0,41,1,4443,106.3,2
0,0,14,1,1096,74.3,2
0,0,7,1,451,69.35,2
0,0,32,0,1739,54.2,2
1,0,41,0,2839,68.5,0
0,0,4,0,181,46.0,2
2,1,56,2,1444,25.95,0
0,0,33,1,3655,110.45,2
0,2,2,0,94,66.4,0
0,0,28,1,2979,105.7,2
0,2,1,0,54,54.5,2
1,1,1,2,18,18.8,3
0,0,2,1,153,70.0,0
0,0,4,1,306,74.4,3
0,0,34,1,3540,105.35,2
1,0,64,0,3756,58.35,0
0,1,7,2,130,18.95,3
1,0,51,1,4299,84.2,0
1,1,21,2,422,20.35,3
2,2,21,0,1524,71.05,1
1,0,57,1,5199,90.65,2
0,0,6,1,438,75.5,2
0,0,8,0,408,49.4,2
0,0,18,0,467,25.55,1
0,0,7,1,467,70.1,3
0,2,35,0,2094,59.6,2
1,2,32,0,2282,74.75,3
0,0,30,1,3096,100.45,2
1,0,26,0,1285,50.35,3
0,0,38,1,3691,95.1,1
0,2,41,1,4689,113.2,2
0,0,34,0,1442,44.85,2
1,2,55,0,3316,60.0,1
0,0,57,1,5438,94.0,1
1,0,66,1,6819,104.6,1
0,2,43,1,3551,86.1,1
0,2,32,0,2404,76.3,0
0,1,1,2,20,20.25,3
1,0,40,0,3208,80.75,3
0,0,41,1,3990,98.05,0
0,2,30,1,2595,90.5,1
0,0,3,1,217,80.1,1
0,2,54,1,5645,104.1,0
0,0,9,1,890,94.85,3
0,0,7,1,533,75.4,2
1,0,58,1,5681,100.35,1
2,0,52,1,4577,89.45,1
1,0,26,0,1023,39.95,0
0,1,34,2,673,20.35,3
0,0,53,1,4348,80.6,3
0,2,15,1,1242,87.75,0
0,1,1,2,19,19.45,3
0,2,5,0,300,55.8,1
0,2,34,1,3688,105.35,0
0,0,32,1,3334,101.35,2
1,2,41,0,1412,35.4,1
1,0,25,0,1423,54.2,2
1,2,17,0,1096,62.1,3
0,1,17,2,475,24.8,3
2,2,70,0,5991,84.7,3
1,1,43,2,776,19.2,3
2,1,71,2,1654,24.35,3
0,0,2,0,47,24.45,3
0,0,49,1,3720,74.6,0
1,0,72,1,7578,105.0,1
0,0,26,1,2281,84.3,3
